PeriodEnd,PeriodStart,Period,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,9.3,0.11,-92,0,6.1,0,0,0,0,0,0,13.1,80.7,0,989.6,252,2.4,131
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,9.3,0.11,-99,0,6,0,0,0,0,0,0,13.3,79.8,0,989.9,250,2.6,119
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,9.1,0.11,-107,0.2,5.8,0,0,0,0,0,0,12.6,79.9,0,990.6,247,2.8,107
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,8.9,0.11,-115,0,5.7,0,1,0,0,1,0,11.7,80.4,0,991.2,245,2.8,95
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,9.8,0.11,-124,0.9,6.8,31,270,36,67,158,30,11.9,81.6,0,991.7,251,2.3,85
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,11.6,0.11,-134,0.1,7.4,63,636,168,230,460,353,12.2,75.5,0,992,261,2.5,75
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,12.9,0.11,-146,2.1,6.7,94,713,281,374,654,587,11.9,66.3,0,992.2,273,3.4,67
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,13.8,0.11,-160,0.5,6.5,93,820,393,487,819,574,11.7,61.5,0,992.4,282,4.1,61
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,14.5,0.11,-175,1.4,6.3,106,817,426,532,874,541,11.8,57.9,0,992.5,284,4.1,59
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,14.9,0.11,169,6.2,6,137,698,359,496,788,516,12,55.1,0,992.3,284,3.9,59
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,14.9,0.11,154,44.3,5.5,241,26,11,252,249,260,12.1,53.3,0,991.9,287,3.9,63
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,14.6,0.11,141,17.4,5.5,162,320,108,271,395,389,11.9,54.2,0,991.5,290,4.1,70
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,14,0.11,129,1.5,6.2,57,520,106,164,347,174,11.6,59.6,0,991.1,293,3.9,79
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,12.7,0.11,120,0,6.7,13,112,11,24,60,10,11.3,67.2,0,991,295,3.4,89
2019-12-31T16:00:00Z,2019-12-31T15:00:00Z,PT60M,11.6,0.11,112,0,6.6,0,0,0,0,0,0,11.2,71.8,0,991.2,285,3,100
2019-12-31T17:00:00Z,2019-12-31T16:00:00Z,PT60M,11.1,0.11,104,0,6.4,0,0,0,0,0,0,11.2,72.7,0,991.7,264,3.2,111
2019-12-31T18:00:00Z,2019-12-31T17:00:00Z,PT60M,10.8,0.11,96,0,6.3,0,0,0,0,0,0,10.9,73.6,0,992,246,2.8,123
2019-12-31T19:00:00Z,2019-12-31T18:00:00Z,PT60M,10.5,0.11,88,0,6.1,0,0,0,0,0,0,10.5,74.5,0,992.2,232,2.3,136
2019-12-31T20:00:00Z,2019-12-31T19:00:00Z,PT60M,10.1,0.11,77,0,5.9,0,0,0,0,0,0,10.5,75.4,0,992.1,230,2,148
2019-12-31T21:00:00Z,2019-12-31T20:00:00Z,PT60M,9.6,0.11,59,0,5.7,0,0,0,0,0,0,10.3,76.3,0,991.7,227,1.7,159
2019-12-31T22:00:00Z,2019-12-31T21:00:00Z,PT60M,9.3,0.11,18,0,5.4,0,0,0,0,0,0,10.6,76.5,0,991.1,224,1.5,167
2019-12-31T23:00:00Z,2019-12-31T22:00:00Z,PT60M,9.1,0.11,-38,0,5.2,0,0,0,0,0,0,12.2,76.4,0,990.5,223,1.5,165
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,9,0.11,-68,0,4.9,0,0,0,0,0,0,13.4,75.5,0,990.2,227,1.5,155
2020-01-01T01:00:00Z,2020-01-01T00:00:00Z,PT60M,9,0.11,-82,0,4.7,0,0,0,0,0,0,13.5,74.5,0,989.9,231,1.6,143
2020-01-01T02:00:00Z,2020-01-01T01:00:00Z,PT60M,8.8,0.11,-91,0,4.8,0,0,0,0,0,0,13.3,76,0,989.4,231,1.5,131
2020-01-01T03:00:00Z,2020-01-01T02:00:00Z,PT60M,8.4,0.11,-99,0,4.9,0,0,0,0,0,0,13.3,78.7,0,988.9,232,1.2,119
2020-01-01T04:00:00Z,2020-01-01T03:00:00Z,PT60M,8.2,0.11,-107,0,4.9,0,0,0,0,0,0,13.3,80,0,988.6,230,1,107
